--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
./recog/demo_korean/9th/pre\combined_005.png	정제수게트롤라톨                 	
./recog/demo_korean/9th/pre\combined_013.png	피이지)오늄이크로로이이이이이          	
./recog/demo_korean/9th/pre\combined_023.png	아크릴레이트c--1//아스스물물물물물물물   	
./recog/demo_korean/9th/pre\test_001.png	정제수                      	
./recog/demo_korean/9th/pre\test_002.png	글리세린                     	
./recog/demo_korean/9th/pre\test_003.png	미네릴오일                    	
./recog/demo_korean/9th/pre\test_004.png	아이소프로필팔미테이트              	
./recog/demo_korean/9th/pre\test_005.png	페트롤라둘                    	
./recog/demo_korean/9th/pre\test_006.png	피이자-                     	
./recog/demo_korean/9th/pre\test_007.png	다이메티콘                    	
./recog/demo_korean/9th/pre\test_008.png	스테아릴알코올                  	
./recog/demo_korean/9th/pre\test_009.png	스테아릭애씨드                  	
./recog/demo_korean/9th/pre\test_010.png	글리세릴스테아레이트               	
./recog/demo_korean/9th/pre\test_011.png	페녹시에탄올                   	
./recog/demo_korean/9th/pre\test_012.png	에틸헥실글리세린                 	
./recog/demo_korean/9th/pre\test_013.png	암모늄이크릴로일다이에              	
./recog/demo_korean/9th/pre\test_014.png	100스테아레이트                	
./recog/demo_korean/9th/pre\test_015.png	틸타우레이트                   	
./recog/demo_korean/9th/pre\test_016.png	(브이피코폴리머                 	
./recog/demo_korean/9th/pre\test_017.png	소듐하이드록사이드                	
./recog/demo_korean/9th/pre\test_018.png	향료                       	
./recog/demo_korean/9th/pre\test_019.png	아크릴레이티c1-0               	
./recog/demo_korean/9th/pre\test_020.png	알리아크릴레하트로트폴폴리세           	
./recog/demo_korean/9th/pre\test_021.png	다이소듐이디티에이                	
./recog/demo_korean/9th/pre\test_022.png	에탄올                      	
./recog/demo_korean/9th/pre\test_023.png	에틸바이스추출물                 	
./recog/demo_korean/9th/pre\test_024.png	마그네슘아스피테이트               	
./recog/demo_korean/9th/pre\test_025.png	징크글루코네이트                 	
./recog/demo_korean/9th/pre\test_026.png	카페글루네네이트                 	
